Time,20-3 - Temperature,17-2 - Temperature,61-3 - Temperature,53-3 - Temperature,53-3 - Pressure,69 - Temperature,69 - Pressure,81 - Temperature,81 - Pressure,5-2 - Mass Flow,108 - Mass Flow,89-2 - Mass Flow,1 - Temperature,1 - Mass Flow,LIC506 - PV,LIC502 - PV,81 - Mass Flow,86 - Temperature,71-2 - Temperature,67 - Mass Flow,34-2 - Temperature,34-2 - Pressure,34-2 - Mass Flow,LIC508 - OP
[seconds],[C],[C],[C],[C],[kPa],[C],[kPa],[C],[kPa],[kg/h],[kg/h],[kg/h],[C],[kg/h],[%],[%],[kg/h],[C],[C],[kg/h],[C],[kPa],[kg/h],[%]
369931,4.11848,-8.69745,-0.48313,-32.9991,101.3,106.582,537.946,112.739,1043.71,292.778,10658.9,7837.1,59.66,0,10.3444,51.2067,10696.1,14.3656,11.4852,85211.5,158.191,101.3,1.70E-31,0.608905
369941,4.02296,-8.71943,-0.480695,-32.9991,101.3,106.621,537.745,112.76,1043.72,301.294,10643.2,7824.7,59.66,0,10.3462,51.1863,10684.9,14.3398,11.4719,85742.7,158.191,101.3,1.70E-31,0.610728
369951,3.44933,-8.66838,-0.37968,-32.9991,101.3,106.606,537.778,112.745,1043.75,309.804,10627.8,7812.58,59.66,0,10.3476,51.1617,10688.7,14.3159,11.4571,86951.5,158.191,101.3,1.69E-31,0.612529
369961,2.34116,-8.49885,-0.198647,-32.9991,101.3,106.538,538.149,112.672,1043.78,318.13,10614.7,7802.75,59.66,0,10.3482,51.1242,10712.2,14.2923,11.444,88117.4,158.191,101.3,1.67E-31,0.615909
369971,0.989059,-8.29082,-0.0231358,-32.9991,101.3,106.477,538.665,112.599,1043.91,325.435,10607.5,7798.48,59.66,0,10.3472,51.0656,10740.4,14.2703,11.4345,88904.4,158.191,101.3,1.65E-31,0.621422
369981,-0.353703,-8.10444,0.101,-32.9991,101.3,106.444,539.112,112.553,1044.05,332.369,10607.5,7800.98,59.66,0,10.3434,50.9833,10762.1,14.252,11.4303,89137.2,158.191,101.3,1.63E-31,0.630099
369991,-1.50274,-7.966,0.154715,-32.9991,101.3,106.464,539.292,112.559,1044.17,339.259,10613.6,7808.98,59.66,0,10.3364,50.8845,10767,14.239,11.4315,89016.4,158.191,101.3,1.60E-31,0.641253
370001,-2.36812,-7.87775,0.144057,-32.9991,101.3,106.525,539.163,112.614,1044.26,346.001,10623.1,7819.73,59.66,0,10.326,50.7816,10754.6,14.2315,11.4432,88600.2,158.191,101.3,1.57E-31,0.654047
370011,-2.99089,-7.8323,0.0843762,-32.9991,101.3,106.621,538.736,112.704,1044.28,353.027,10632.7,7830.11,59.66,0,10.3132,50.686,10727,14.2292,11.4627,88029.9,158.191,101.3,1.55E-31,0.667702
370021,-3.41265,-7.81474,-0.00526962,-32.9991,101.3,106.74,538.124,112.813,1044.35,359.656,10640.6,7838.39,59.66,0,10.2986,50.6066,10689.2,14.2299,11.4883,87384,158.191,101.3,1.52E-31,0.681918
370031,-3.70166,-7.81958,-0.10919,-32.9991,101.3,106.871,537.327,112.925,1044.33,367.054,10644.8,7842.72,59.66,0,10.2833,50.5465,10643.3,14.2335,11.5243,86717.9,158.191,101.3,1.49E-31,0.696509
370041,-3.89477,-7.84039,-0.22071,-32.9991,101.3,107.002,536.466,113.038,1044.31,374.511,10644.6,7842.39,59.66,0,10.2679,50.5085,10595.3,14.2381,11.5678,86073.7,158.191,101.3,1.47E-31,0.711337
370051,-4.02701,-7.86978,-0.337441,-32.9991,101.3,107.138,535.531,113.146,1044.24,382.582,10639,7836.86,59.66,0,10.2531,50.4928,10544.6,14.2431,11.6185,85449.7,158.191,101.3,1.45E-31,0.726337
370061,-4.12022,-7.90951,-0.449878,-32.9991,101.3,107.27,534.589,113.248,1044.16,390.796,10628.5,7826.32,59.66,0,10.2393,50.4975,10494.5,14.2474,11.6761,84887.1,158.191,101.3,1.42E-31,0.74146
370071,-4.18774,-7.9549,-0.563058,-32.9991,101.3,107.402,533.626,113.343,1044.03,399.592,10613,7810.96,59.66,0,10.2269,50.5202,10444.2,14.2508,11.7401,84377.3,158.191,101.3,1.40E-31,0.756654
370081,-4.23558,-8.00518,-0.672245,-32.9991,101.3,107.531,532.664,113.438,1043.86,408.887,10592.7,7791.06,59.66,0,10.2163,50.5587,10395.2,14.2529,11.8101,83904.9,158.191,101.3,1.38E-31,0.771911
370091,-4.27765,-8.06176,-0.77433,-32.9991,101.3,107.658,531.721,113.525,1043.7,418.318,10568.3,7767.23,59.66,0,10.2074,50.6106,10347.1,14.2534,11.8859,83497.1,158.191,101.3,1.36E-31,0.787071
370101,-4.30446,-8.12109,-0.870234,-32.9991,101.3,107.778,530.813,113.603,1043.51,428.259,10540,7739.87,59.66,0,10.2005,50.6723,10301.5,14.2523,11.967,83100.5,158.191,101.3,1.35E-31,0.802565
370111,-4.32783,-8.18382,-0.961062,-32.9991,101.3,107.897,529.954,113.679,1043.4,437.962,10509.1,7710,59.66,0,10.1957,50.7413,10257.2,14.249,12.0532,82724.9,158.191,101.3,1.33E-31,0.81773
370121,-4.34472,-8.24819,-1.04574,-32.9991,101.3,108.011,529.117,113.754,1043.23,448.399,10474.8,7677.16,59.66,0,10.1929,50.816,10215.5,14.2449,12.144,82349.7,158.191,101.3,1.31E-31,0.832762
370131,-4.35678,-8.31549,-1.12009,-32.9991,101.3,108.119,528.31,113.819,1043.03,459.366,10437.9,7642.01,59.66,0,10.192,50.8942,10175.7,14.2397,12.2393,81938.1,158.191,101.3,1.30E-31,0.847324
370141,-4.3651,-8.3851,-1.18999,-32.9991,101.3,108.226,527.567,113.882,1042.89,470.036,10399.6,7605.68,59.66,0,10.1932,50.9729,10138.5,14.2331,12.3387,81584.9,158.191,101.3,1.28E-31,0.861968
370151,-4.37005,-8.45424,-1.25285,-32.9991,101.3,108.327,526.844,113.941,1042.72,481.414,10359.5,7568.03,59.66,0,10.1962,51.0505,10102.7,14.226,12.4416,81195.5,158.191,101.3,1.27E-31,0.876853
370161,-4.37211,-8.52419,-1.31063,-32.9991,101.3,108.426,526.17,113.995,1042.58,492.54,10318.7,7529.8,59.66,0,10.2008,51.1254,10069.1,14.2184,12.5474,80786.3,158.191,101.3,1.25E-31,0.891304
370171,-4.3718,-8.59482,-1.36498,-32.9991,101.3,108.521,525.525,114.05,1042.42,504.256,10277,7491.12,59.66,0,10.2072,51.1963,10037.5,14.2107,12.6559,80410.7,158.191,101.3,1.24E-31,0.905433
370181,-4.36943,-8.66459,-1.41504,-32.9991,101.3,108.615,524.886,114.103,1042.24,516.19,10234.7,7452.17,59.66,0,10.2151,51.2631,10006.1,14.2032,12.7667,80016.5,158.191,101.3,1.23E-31,0.91898
370191,-4.3652,-8.73302,-1.46042,-32.9991,101.3,108.706,524.288,114.153,1042.08,528.194,10192.3,7413.47,59.66,0,10.2241,51.3245,9976.89,14.1957,12.8771,79663.1,158.191,101.3,1.22E-31,0.93274
370201,-4.35964,-8.80126,-1.50338,-32.9991,101.3,108.794,523.737,114.199,1041.96,540.076,10150.3,7375.32,59.66,0,10.2344,51.38,9949.41,14.1883,12.9921,79299.7,158.191,101.3,1.21E-31,0.946193
370211,-4.353,-8.86808,-1.54401,-32.9991,101.3,108.88,523.215,114.246,1041.88,551.986,10108.8,7337.88,59.66,0,10.2457,51.4295,9922.78,14.1813,13.1082,78979.5,158.191,101.3,1.20E-31,0.959331
370221,-4.34526,-8.93228,-1.57861,-32.9991,101.3,108.964,522.705,114.29,1041.77,564.197,10067.6,7300.99,59.66,0,10.2575,51.4729,9897.13,14.1753,13.2255,78659.5,158.191,101.3,1.19E-31,0.973131
370231,-4.337,-8.99575,-1.61299,-32.9991,101.3,109.042,522.222,114.33,1041.66,576.584,10027,7264.92,59.66,0,10.2699,51.5098,9873.07,14.1703,13.3437,78360.4,158.191,101.3,1.18E-31,0.986869
370241,-4.3284,-9.05808,-1.64583,-32.9991,101.3,109.122,521.741,114.374,1041.54,589.108,9987.07,7229.71,59.66,0,10.2827,51.5406,9849.22,14.1663,13.4627,78065.4,158.191,101.3,1.17E-31,0.999929
370251,-4.3195,-9.11835,-1.67596,-32.9991,101.3,109.201,521.291,114.415,1041.46,601.45,9948.13,7195.63,59.66,0,10.2959,51.5654,9826.3,14.1631,13.5824,77797.5,158.191,101.3,1.16E-31,1.01252
370261,-4.31041,-9.17661,-1.70345,-32.9991,101.3,109.272,520.864,114.452,1041.37,614.045,9909.95,7162.49,59.66,0,10.3093,51.5844,9804.93,14.1612,13.7026,77558.7,158.191,101.3,1.15E-31,1.0251
370271,-4.30101,-9.2319,-1.72695,-32.9991,101.3,109.347,520.473,114.49,1041.34,626.288,9873.09,7130.73,59.66,0,10.3226,51.5975,9784.4,14.16,13.8235,77310.8,158.191,101.3,1.14E-31,1.03823
370281,-4.29168,-9.28655,-1.74934,-32.9991,101.3,109.422,520.084,114.527,1041.28,638.895,9837.08,7099.96,59.66,0,10.336,51.6055,9764.32,14.1603,13.9447,77069.9,158.191,101.3,1.13E-31,1.05122
370291,-4.28239,-9.33917,-1.77003,-32.9991,101.3,109.492,519.706,114.563,1041.21,651.503,9802.01,7070.25,59.66,0,10.3491,51.6083,9745.09,14.1621,14.0658,76836.9,158.191,101.3,1.13E-31,1.06405
370301,-4.27311,-9.38978,-1.78876,-32.9991,101.3,109.557,519.364,114.595,1041.16,663.99,9768.26,7041.92,59.66,0,10.3618,51.6056,9727.68,14.1652,14.1866,76608.2,158.191,101.3,1.12E-31,1.07677
