Time,20-3 - Temperature,17-2 - Temperature,61-3 - Temperature,53-3 - Temperature,53-3 - Pressure,69 - Temperature,69 - Pressure,81 - Temperature,81 - Pressure,5-2 - Mass Flow,108 - Mass Flow,89-2 - Mass Flow,1 - Temperature,1 - Mass Flow,LIC506 - PV,LIC502 - PV,81 - Mass Flow,86 - Temperature,71-2 - Temperature,67 - Mass Flow,34-2 - Temperature,34-2 - Pressure,34-2 - Mass Flow,LIC508 - OP
[seconds],[C],[C],[C],[C],[kPa],[C],[kPa],[C],[kPa],[kg/h],[kg/h],[kg/h],[C],[kg/h],[%],[%],[kg/h],[C],[C],[kg/h],[C],[kPa],[kg/h],[%]
370511,4.14824,-9.06355,-0.615156,-32.9991,101.3,107.966,532.636,113.584,1047,603.713,10289.1,7564.93,59.66,0,10.1352,50.2236,10350.8,13.3609,10.182,83894.3,158.191,101.3,1.66E-31,0.621009
370521,4.1502,-9.06355,-0.613457,-32.9991,101.3,107.977,532.619,113.594,1047.05,605.184,10288.6,7564.95,59.66,0,10.1313,50.2147,10349,13.3573,10.1797,83876.8,158.191,101.3,1.66E-31,0.620212
370531,4.14944,-9.06355,-0.611908,-32.9991,101.3,107.987,532.611,113.6,1047.12,606.553,10288.4,7565.19,59.66,0,10.1274,50.2058,10347.4,13.3542,10.1791,83858.7,158.191,101.3,1.66E-31,0.61942
370541,4.14548,-9.06355,-0.608907,-32.9991,101.3,107.997,532.602,113.606,1047.18,607.93,10288.2,7565.48,59.66,0,10.1235,50.1971,10345.8,13.3518,10.1791,83841.2,158.191,101.3,1.66E-31,0.618605
370551,4.15097,-9.06355,-0.606764,-32.9991,101.3,108.005,532.596,113.61,1047.24,609.373,10288.2,7565.84,59.66,0,10.1197,50.1886,10344.4,13.35,10.1832,83823.5,158.191,101.3,1.66E-31,0.617801
370561,4.14627,-9.06355,-0.60688,-32.9991,101.3,108.014,532.588,113.616,1047.29,610.603,10288.2,7566.26,59.66,0,10.1161,50.1804,10343.1,13.3492,10.1877,83805.1,158.191,101.3,1.66E-31,0.616979
370571,4.15112,-9.06184,-0.605239,-32.9991,101.3,108.021,532.587,113.619,1047.35,611.878,10288.2,7566.72,59.66,0,10.1126,50.1723,10342.1,13.3489,10.1942,83787,158.191,101.3,1.66E-31,0.616149
370581,4.15112,-9.06191,-0.602223,-32.9991,101.3,108.027,532.581,113.623,1047.39,612.995,10288.4,7567.28,59.66,0,10.109,50.1644,10340.9,13.3495,10.2026,83768.9,158.191,101.3,1.66E-31,0.615314
370591,4.15328,-9.06191,-0.600817,-32.9991,101.3,108.035,532.58,113.629,1047.45,613.932,10288.7,7567.93,59.66,0,10.1055,50.1565,10340,13.3508,10.2134,83750.6,158.191,101.3,1.66E-31,0.614482
370601,4.15247,-9.06191,-0.599197,-32.9991,101.3,108.045,532.573,113.635,1047.5,614.779,10289.1,7568.58,59.66,0,10.102,50.1493,10338.6,13.3528,10.2262,83732.3,158.191,101.3,1.66E-31,0.613651
370611,4.14841,-9.06027,-0.597299,-32.9991,101.3,108.054,532.581,113.64,1047.58,615.356,10289.6,7569.4,59.66,0,10.0986,50.1421,10337.7,13.3555,10.242,83713.9,158.191,101.3,1.66E-31,0.612819
370621,4.15267,-9.06027,-0.595307,-32.9991,101.3,108.059,532.6,113.642,1047.66,616.012,10290.3,7570.34,59.66,0,10.0953,50.1349,10337.4,13.3588,10.2582,83695.2,158.191,101.3,1.66E-31,0.611991
370631,4.15341,-9.06027,-0.593569,-32.9991,101.3,108.063,532.585,113.645,1047.66,617.083,10290.6,7570.97,59.66,0,10.0921,50.1277,10336.6,13.3635,10.2759,83676.5,158.191,101.3,1.66E-31,0.611168
