Time,20-3 - Temperature,17-2 - Temperature,61-3 - Temperature,53-3 - Temperature,53-3 - Pressure,69 - Temperature,69 - Pressure,81 - Temperature,81 - Pressure,5-2 - Mass Flow,108 - Mass Flow,89-2 - Mass Flow,1 - Temperature,1 - Mass Flow,LIC506 - PV,LIC502 - PV,81 - Mass Flow,86 - Temperature,71-2 - Temperature,67 - Mass Flow,34-2 - Temperature,34-2 - Pressure,34-2 - Mass Flow,LIC508 - OP
[seconds],[C],[C],[C],[C],[kPa],[C],[kPa],[C],[kPa],[kg/h],[kg/h],[kg/h],[C],[kg/h],[%],[%],[kg/h],[C],[C],[kg/h],[C],[kPa],[kg/h],[%]
370141,4.1285,-8.97027,-0.62066,-32.9991,101.3,107.278,534.531,113.159,1044.35,456.667,10417.1,7651.72,59.66,0,10.3085,50.7473,10499.4,13.8718,10.9902,84585.1,158.191,101.3,1.68E-31,0.632766
370151,4.12485,-8.97744,-0.623423,-32.9991,101.3,107.307,534.421,113.177,1044.42,463.204,10409.7,7646.22,59.66,0,10.3043,50.727,10492.3,13.8504,10.961,84562.8,158.191,101.3,1.68E-31,0.633203
370161,4.12998,-8.98429,-0.626003,-32.9991,101.3,107.334,534.318,113.193,1044.49,469.494,10402.5,7640.92,59.66,0,10.2999,50.7073,10485.5,13.8295,10.9311,84540.9,158.191,101.3,1.68E-31,0.633583
370171,4.12544,-8.99064,-0.628052,-32.9991,101.3,107.358,534.226,113.209,1044.55,475.687,10395.5,7635.79,59.66,0,10.2954,50.688,10479.5,13.8088,10.9011,84519.4,158.191,101.3,1.68E-31,0.633908
370181,4.131,-8.99662,-0.629727,-32.9991,101.3,107.384,534.129,113.225,1044.62,481.762,10388.9,7630.93,59.66,0,10.2908,50.669,10473,13.7884,10.8712,84498.2,158.191,101.3,1.68E-31,0.634179
370191,4.12701,-9.00232,-0.631636,-32.9991,101.3,107.41,534.038,113.241,1044.69,487.693,10382.5,7626.28,59.66,0,10.2861,50.6502,10466.9,13.7684,10.8413,84477.4,158.191,101.3,1.68E-31,0.634397
370201,4.13191,-9.00776,-0.632708,-32.9991,101.3,107.436,533.951,113.256,1044.75,493.479,10376.4,7621.83,59.66,0,10.2813,50.632,10461,13.7488,10.8115,84456.9,158.191,101.3,1.68E-31,0.634563
370211,4.13191,-9.01271,-0.634035,-32.9991,101.3,107.46,533.865,113.27,1044.82,499.205,10370.5,7617.58,59.66,0,10.2765,50.6139,10455.3,13.7296,10.7819,84436.7,158.191,101.3,1.68E-31,0.634678
370221,4.13191,-9.01761,-0.635168,-32.9991,101.3,107.482,533.8,113.285,1044.92,504.411,10365.1,7613.71,59.66,0,10.2716,50.5962,10450.1,13.7104,10.7522,84416.8,158.191,101.3,1.68E-31,0.634744
370231,4.13191,-9.02193,-0.636011,-32.9991,101.3,107.508,533.711,113.301,1044.98,509.831,10359.8,7609.86,59.66,0,10.2667,50.5789,10444,13.6918,10.7218,84397,158.191,101.3,1.67E-31,0.634761
370241,4.13191,-9.02611,-0.636698,-32.9991,101.3,107.531,533.638,113.315,1045.05,515.04,10354.7,7606.2,59.66,0,10.2617,50.5621,10438.8,13.6737,10.6937,84377.6,158.191,101.3,1.67E-31,0.634732
