Time,20-3 - Temperature,17-2 - Temperature,61-3 - Temperature,53-3 - Temperature,53-3 - Pressure,69 - Temperature,69 - Pressure,81 - Temperature,81 - Pressure,5-2 - Mass Flow,108 - Mass Flow,89-2 - Mass Flow,1 - Temperature,1 - Mass Flow,LIC506 - PV,LIC502 - PV,81 - Mass Flow,86 - Temperature,71-2 - Temperature,67 - Mass Flow,34-2 - Temperature,34-2 - Pressure,34-2 - Mass Flow,LIC508 - OP
[seconds],[C],[C],[C],[C],[kPa],[C],[kPa],[C],[kPa],[kg/h],[kg/h],[kg/h],[C],[kg/h],[%],[%],[kg/h],[C],[C],[kg/h],[C],[kPa],[kg/h],[%]
369951,3.27289,-8.65355,-0.348226,-32.9991,101.3,106.594,537.837,112.735,1043.75,309.775,10627.7,7812.55,59.66,0,10.3476,51.1607,10692.5,14.3159,11.4573,87481.1,158.191,101.3,1.69E-31,0.612515
369961,1.72063,-8.42249,-0.10424,-32.9991,101.3,106.497,538.383,112.635,1043.84,317.698,10615.4,7803.41,59.66,0,10.348,51.1185,10725.7,14.2923,11.4451,89180.7,158.191,101.3,1.67E-31,0.616125
369971,-0.29032,-8.11381,0.155802,-32.9991,101.3,106.389,539.183,112.517,1043.99,324.827,10610.2,7801.07,59.66,0,10.3465,51.0484,10770.2,14.2711,11.4383,90439.4,158.191,101.3,1.64E-31,0.623495
369981,-2.38282,-7.81255,0.356018,-32.9991,101.3,106.322,539.913,112.437,1044.16,331.417,10614.6,7807.79,59.66,0,10.3414,50.945,10807.4,14.2549,11.4386,91010.2,158.191,101.3,1.61E-31,0.635298
369991,-4.32141,-7.56457,0.458955,-32.9991,101.3,106.321,540.334,112.424,1044.34,337.439,10628.3,7822.88,59.66,0,10.3316,50.8155,10823.7,14.2457,11.4516,90991.2,158.191,101.3,1.57E-31,0.650435
370001,-5.90534,-7.38344,0.47012,-32.9991,101.3,106.388,540.319,112.484,1044.52,343.19,10647.7,7842.72,59.66,0,10.3167,50.6765,10814.5,14.2443,11.4739,90582.8,158.191,101.3,1.53E-31,0.668858
370011,-7.08628,-7.26764,0.408035,-32.9991,101.3,106.505,539.876,112.596,1044.61,349.353,10668.2,7862.91,59.66,0,10.2977,50.5443,10783,14.2504,11.511,89810.7,158.191,101.3,1.49E-31,0.690161
370021,-7.91335,-7.20535,0.297437,-32.9991,101.3,106.66,539.044,112.743,1044.62,355.956,10686.2,7879.91,59.66,0,10.2754,50.4325,10732.2,14.2628,11.5617,88893,158.191,101.3,1.45E-31,0.712679
370031,-8.47215,-7.17685,0.156241,-32.9991,101.3,106.832,537.972,112.903,1044.58,362.966,10699.6,7891.81,59.66,0,10.2513,50.3472,10670.5,14.2793,11.6258,87908.5,158.191,101.3,1.41E-31,0.73528
370041,-8.84526,-7.17636,0.00170495,-32.9991,101.3,107.013,536.735,113.064,1044.48,370.583,10706.4,7896.93,59.66,0,10.2266,50.2929,10602.3,14.2984,11.7031,86911.9,158.191,101.3,1.37E-31,0.757225
370051,-9.10151,-7.19397,-0.15173,-32.9991,101.3,107.193,535.43,113.215,1044.34,378.735,10706,7894.62,59.66,0,10.2022,50.27,10532.4,14.3184,11.7928,86009.5,158.191,101.3,1.34E-31,0.78018
370061,-9.28513,-7.22855,-0.307654,-32.9991,101.3,107.372,534.114,113.354,1044.2,387.226,10698.5,7885.25,59.66,0,10.1792,50.2759,10462.7,14.3379,11.8942,85181.6,158.191,101.3,1.31E-31,0.802818
370071,-9.42028,-7.27175,-0.453302,-32.9991,101.3,107.545,532.782,113.486,1043.97,396.833,10683.6,7868.58,59.66,0,10.158,50.3078,10394.6,14.357,12.0068,84347.3,158.191,101.3,1.28E-31,0.825916
370081,-9.52314,-7.32492,-0.585638,-32.9991,101.3,107.714,531.51,113.605,1043.77,406.432,10662.4,7845.9,59.66,0,10.1393,50.3613,10329.4,14.3742,12.1305,83659.5,158.191,101.3,1.25E-31,0.849208
370091,-9.60297,-7.38594,-0.713592,-32.9991,101.3,107.871,530.264,113.71,1043.51,417.152,10635.2,7817.46,59.66,0,10.1231,50.4318,10267,14.3904,12.2647,83036.7,158.191,101.3,1.22E-31,0.871953
370101,-9.66429,-7.45124,-0.822729,-32.9991,101.3,108.01,529.149,113.799,1043.28,427.866,10603.1,7784.52,59.66,0,10.1098,50.5144,10211.9,14.405,12.4093,82390.7,158.191,101.3,1.20E-31,0.89521
370111,-9.71112,-7.52117,-0.916343,-32.9991,101.3,108.146,528.09,113.884,1043.02,439.248,10566.6,7747.56,59.66,0,10.0996,50.6057,10160.3,14.4189,12.564,81823.8,158.191,101.3,1.17E-31,0.918524
370121,-9.74648,-7.59708,-1.00137,-32.9991,101.3,108.272,527.141,113.956,1042.83,450.498,10527.4,7708.14,59.66,0,10.0923,50.7006,10113.3,14.4317,12.7284,81299,158.191,101.3,1.15E-31,0.941149
370131,-9.77079,-7.67182,-1.06572,-32.9991,101.3,108.384,526.275,114.016,1042.58,462.699,10485.1,7666.22,59.66,0,10.088,50.796,10072.2,14.4452,12.9021,80668,158.191,101.3,1.13E-31,0.964838
370141,-9.78638,-7.74985,-1.12195,-32.9991,101.3,108.491,525.504,114.074,1042.39,474.552,10441.5,7623.39,59.66,0,10.0866,50.8885,10035,14.4589,13.0845,80105.2,158.191,101.3,1.11E-31,0.987972
