Time,20-3 - Temperature,17-2 - Temperature,61-3 - Temperature,53-3 - Temperature,53-3 - Pressure,69 - Temperature,69 - Pressure,81 - Temperature,81 - Pressure,5-2 - Mass Flow,108 - Mass Flow,89-2 - Mass Flow,1 - Temperature,1 - Mass Flow,LIC506 - PV,LIC502 - PV,81 - Mass Flow,86 - Temperature,71-2 - Temperature,67 - Mass Flow,34-2 - Temperature,34-2 - Pressure,34-2 - Mass Flow,LIC508 - OP
[seconds],[C],[C],[C],[C],[kPa],[C],[kPa],[C],[kPa],[kg/h],[kg/h],[kg/h],[C],[kg/h],[%],[%],[kg/h],[C],[C],[kg/h],[C],[kPa],[kg/h],[%]
369981,-0.353549,-8.10447,0.100991,-32.9991,101.3,106.444,539.113,112.553,1044.05,332.368,10607.5,7800.99,59.66,0,10.3434,50.9833,10762.1,14.252,11.4303,89137,158.191,101.3,1.63E-31,0.630099
369991,-1.50256,-7.96602,0.154703,-32.9991,101.3,106.465,539.289,112.559,1044.17,339.258,10613.6,7808.99,59.66,0,10.3364,50.8845,10766.8,14.239,11.4315,89016.3,158.191,101.3,1.60E-31,0.641252
370001,-2.36802,-7.87778,0.144373,-32.9991,101.3,106.525,539.168,112.613,1044.26,345.996,10623.1,7819.74,59.66,0,10.326,50.7815,10754.9,14.2315,11.4432,88600.1,158.191,101.3,1.57E-31,0.654046
370011,-2.99089,-7.8323,0.0847116,-32.9991,101.3,106.623,538.733,112.705,1044.28,353.033,10632.7,7830.19,59.66,0,10.3132,50.6857,10726.8,14.2292,11.4627,88029.9,158.191,101.3,1.55E-31,0.667701
370021,-3.41297,-7.81473,-0.00495278,-32.9991,101.3,106.743,538.114,112.813,1044.35,359.656,10640.9,7838.6,59.66,0,10.2986,50.6059,10688.4,14.23,11.4883,87384,158.191,101.3,1.52E-31,0.681917
370031,-3.70172,-7.81957,-0.109565,-32.9991,101.3,106.87,537.33,112.924,1044.34,367.107,10645,7842.89,59.66,0,10.2833,50.5459,10643.4,14.2334,11.5244,86717.9,158.191,101.3,1.49E-31,0.696507
370041,-3.89479,-7.8404,-0.220748,-32.9991,101.3,107.002,536.46,113.036,1044.31,374.619,10644.6,7842.47,59.66,0,10.2679,50.5081,10595,14.2382,11.5678,86073.7,158.191,101.3,1.47E-31,0.711336
370051,-4.02699,-7.86972,-0.337599,-32.9991,101.3,107.134,535.516,113.145,1044.19,382.901,10638.8,7836.69,59.66,0,10.2531,50.4923,10544.8,14.2435,11.6184,85449.7,158.191,101.3,1.45E-31,0.726336
370061,-4.12016,-7.90969,-0.4498,-32.9991,101.3,107.268,534.556,113.249,1044.07,391.368,10628,7826.01,59.66,0,10.2394,50.497,10494.4,14.2481,11.676,84887.2,158.191,101.3,1.42E-31,0.741458
370071,-4.18764,-7.95485,-0.562985,-32.9991,101.3,107.4,533.589,113.343,1043.93,400.26,10612.4,7810.59,59.66,0,10.2271,50.5198,10444.1,14.2516,11.74,84377.4,158.191,101.3,1.40E-31,0.756652
370081,-4.23554,-8.00512,-0.672244,-32.9991,101.3,107.532,532.649,113.441,1043.83,408.93,10592.6,7791.04,59.66,0,10.2164,50.5584,10394.9,14.2533,11.81,83904.9,158.191,101.3,1.38E-31,0.77191
370091,-4.27759,-8.06174,-0.774376,-32.9991,101.3,107.657,531.727,113.524,1043.7,418.421,10568.4,7767.34,59.66,0,10.2074,50.6103,10347.4,14.2534,11.886,83496.6,158.191,101.3,1.36E-31,0.787042
370101,-4.30425,-8.12105,-0.870261,-32.9991,101.3,107.781,530.836,113.603,1043.58,427.914,10540.6,7740.32,59.66,0,10.2006,50.6721,10301.4,14.2518,11.9672,83100.7,158.191,101.3,1.35E-31,0.802503
370111,-4.32757,-8.18379,-0.961102,-32.9991,101.3,107.897,529.944,113.68,1043.37,438.408,10508.9,7709.85,59.66,0,10.1957,50.7414,10257.3,14.2493,12.0531,82725,158.191,101.3,1.33E-31,0.817667
370121,-4.34444,-8.24819,-1.04539,-32.9991,101.3,108.01,529.092,113.754,1043.16,448.997,10474.4,7676.85,59.66,0,10.1929,50.8162,10215.3,14.2453,12.1439,82349.9,158.191,101.3,1.31E-31,0.832697
370131,-4.35648,-8.31549,-1.12013,-32.9991,101.3,108.118,528.29,113.819,1042.97,459.739,10437.6,7641.8,59.66,0,10.192,50.8942,10175.7,14.2401,12.2392,81938.3,158.191,101.3,1.30E-31,0.847257
370141,-4.36478,-8.38513,-1.18999,-32.9991,101.3,108.223,527.535,113.883,1042.8,470.581,10399,7605.28,59.66,0,10.1933,50.9729,10138.4,14.2338,12.3385,81585.1,158.191,101.3,1.28E-31,0.861899
370151,-4.36973,-8.45429,-1.25301,-32.9991,101.3,108.326,526.826,113.944,1042.67,481.534,10359.2,7567.8,59.66,0,10.1963,51.0505,10102.8,14.2266,12.4413,81195.7,158.191,101.3,1.27E-31,0.876782
370161,-4.37179,-8.5244,-1.3106,-32.9991,101.3,108.425,526.142,113.996,1042.5,493.154,10318.2,7529.44,59.66,0,10.201,51.1254,10069.1,14.219,12.5473,80786.5,158.191,101.3,1.25E-31,0.891232
370171,-4.37147,-8.5949,-1.36497,-32.9991,101.3,108.519,525.501,114.052,1042.35,504.588,10276.5,7490.82,59.66,0,10.2075,51.1964,10037.4,14.2113,12.6558,80410.9,158.191,101.3,1.24E-31,0.90536
370181,-4.3691,-8.66472,-1.41507,-32.9991,101.3,108.615,524.877,114.105,1042.21,516.29,10234.4,7452.04,59.66,0,10.2153,51.2632,10006.3,14.2035,12.7666,80016.7,158.191,101.3,1.23E-31,0.918906
370191,-4.36481,-8.7331,-1.46042,-32.9991,101.3,108.707,524.294,114.153,1042.1,528.103,10192.4,7413.54,59.66,0,10.2244,51.3246,9976.94,14.1956,12.8771,79663.3,158.191,101.3,1.22E-31,0.932665
370201,-4.35924,-8.80123,-1.50338,-32.9991,101.3,108.794,523.737,114.2,1041.97,539.997,10150.3,7375.35,59.66,0,10.2346,51.3803,9949.22,14.1883,12.9919,79299.9,158.191,101.3,1.21E-31,0.946118
370211,-4.3526,-8.86815,-1.544,-32.9991,101.3,108.879,523.203,114.246,1041.85,552.257,10108.5,7337.69,59.66,0,10.2458,51.4298,9922.74,14.1816,13.1081,78979.7,158.191,101.3,1.20E-31,0.959255
370221,-4.34487,-8.93235,-1.5786,-32.9991,101.3,108.962,522.683,114.291,1041.71,564.583,10067.1,7300.64,59.66,0,10.2577,51.4732,9897.17,14.1758,13.2253,78659.8,158.191,101.3,1.19E-31,0.973054
370231,-4.33663,-8.99594,-1.61301,-32.9991,101.3,109.042,522.189,114.334,1041.59,576.895,10026.4,7264.52,59.66,0,10.2702,51.5102,9872.61,14.1708,13.3434,78360.6,158.191,101.3,1.18E-31,0.986791
370241,-4.32803,-9.05816,-1.64577,-32.9991,101.3,109.121,521.711,114.374,1041.47,589.588,9986.45,7229.27,59.66,0,10.283,51.541,9849.01,14.1668,13.4625,78065.7,158.191,101.3,1.17E-31,0.999851
370251,-4.31914,-9.1185,-1.67606,-32.9991,101.3,109.2,521.26,114.417,1041.38,601.906,9947.44,7195.14,59.66,0,10.2962,51.5659,9826.25,14.1637,13.5821,77797.7,158.191,101.3,1.16E-31,1.01245
370261,-4.31005,-9.17671,-1.70331,-32.9991,101.3,109.274,520.834,114.455,1041.3,614.464,9909.33,7162.06,59.66,0,10.3096,51.5849,9804.55,14.1616,13.7025,77558.6,158.191,101.3,1.15E-31,1.02502
370271,-4.30066,-9.23197,-1.72671,-32.9991,101.3,109.346,520.44,114.491,1041.26,626.799,9872.33,7130.17,59.66,0,10.3229,51.5983,9784.22,14.1606,13.8232,77311,158.191,101.3,1.14E-31,1.03815
370281,-4.29133,-9.28658,-1.74943,-32.9991,101.3,109.419,520.05,114.528,1041.19,639.382,9836.26,7099.36,59.66,0,10.3362,51.6061,9764.3,14.1609,13.9443,77070.1,158.191,101.3,1.13E-31,1.05114
370291,-4.28205,-9.33935,-1.77022,-32.9991,101.3,109.488,519.684,114.563,1041.14,651.916,9801.33,7069.76,59.66,0,10.3493,51.6087,9745.5,14.1626,14.0655,76837.1,158.191,101.3,1.13E-31,1.06397
370301,-4.27279,-9.39004,-1.78885,-32.9991,101.3,109.555,519.342,114.596,1041.09,664.367,9767.64,7041.47,59.66,0,10.3621,51.6061,9727.78,14.1655,14.1863,76608.4,158.191,101.3,1.12E-31,1.07669
370311,-4.26359,-9.43882,-1.80597,-32.9991,101.3,109.619,519.004,114.629,1041.03,676.932,9735,7014.33,59.66,0,10.3745,51.5987,9710.7,14.17,14.3065,76384.6,158.191,101.3,1.11E-31,1.08932
370321,-4.2548,-9.4857,-1.82184,-32.9991,101.3,109.684,518.68,114.661,1040.98,689.445,9703.67,6988.5,59.66,0,10.3863,51.5869,9694.04,14.1757,14.4261,76165.4,158.191,101.3,1.10E-31,1.10184
370331,-4.24755,-9.53074,-1.83677,-32.9991,101.3,109.746,518.383,114.693,1040.97,701.658,9673.78,6964.06,59.66,0,10.3976,51.571,9678.16,14.1826,14.5445,75952.2,158.191,101.3,1.10E-31,1.11426
370341,-4.238,-9.57395,-1.85166,-32.9991,101.3,109.809,518.097,114.725,1040.98,713.728,9645.16,6940.87,59.66,0,10.4083,51.5517,9662.47,14.1902,14.6581,75753,158.191,101.3,1.09E-31,1.12678
370351,-4.2294,-9.61563,-1.877,-32.9991,101.3,109.879,517.792,114.76,1040.98,725.742,9617.67,6918.82,59.66,0,10.4183,51.5297,9645.43,14.1991,14.7752,75527,158.191,101.3,1.09E-31,1.13919
370361,-4.22029,-9.65671,-1.93694,-32.9991,101.3,109.984,517.354,114.82,1041.01,737.717,9591.27,6897.78,59.66,0,10.4275,51.5078,9619.37,14.2087,14.8892,75339.7,158.191,101.3,1.08E-31,1.15111
370371,-4.21241,-9.69754,-2.01995,-32.9991,101.3,110.108,516.767,114.903,1040.99,749.844,9564.16,6876.01,59.66,0,10.4358,51.4912,9585.74,14.2192,15.0008,75151.5,158.191,101.3,1.08E-31,1.16278
370381,-4.20381,-9.73967,-2.10123,-32.9991,101.3,110.238,516.119,114.989,1040.99,762.019,9535.55,6852.66,59.66,0,10.4434,51.4827,9549.15,14.2294,15.1099,74979.8,158.191,101.3,1.07E-31,1.17462
370391,-4.1965,-9.78431,-2.18224,-32.9991,101.3,110.364,515.432,115.07,1040.95,774.481,9504.62,6827,59.66,0,10.4502,51.4832,9511.65,14.2389,15.2167,74804.4,158.191,101.3,1.07E-31,1.18636
370401,-4.18891,-9.83091,-2.26177,-32.9991,101.3,110.497,514.722,115.151,1040.9,786.993,9471.65,6799.24,59.66,0,10.4564,51.4922,9473.13,14.247,15.3209,74636.9,158.191,101.3,1.06E-31,1.19779
370411,-4.18173,-9.87931,-2.3396,-32.9991,101.3,110.63,514,115.232,1040.84,799.731,9436.72,6769.53,59.66,0,10.4622,51.5082,9434.58,14.2533,15.4222,74475.5,158.191,101.3,1.06E-31,1.2089
370421,-4.17483,-9.92916,-2.41431,-32.9991,101.3,110.762,513.272,115.311,1040.77,812.592,9400.02,6738.03,59.66,0,10.4676,51.5301,9395.97,14.2577,15.5203,74320.3,158.191,101.3,1.05E-31,1.21969
370431,-4.16816,-9.98083,-2.48679,-32.9991,101.3,110.896,512.56,115.386,1040.72,825.349,9362.09,6705.27,59.66,0,10.4728,51.5563,9357.73,14.2597,15.6149,74170.3,158.191,101.3,1.05E-31,1.23014
370441,-4.15753,-10.0325,-2.5566,-32.9991,101.3,111.027,511.851,115.459,1040.66,838.495,9322.85,6671.26,59.66,0,10.4778,51.5855,9320.14,14.2595,15.7057,74024.2,158.191,101.3,1.04E-31,1.24024
