Time,20-3 - Temperature,17-2 - Temperature,61-3 - Temperature,53-3 - Temperature,53-3 - Pressure,69 - Temperature,69 - Pressure,81 - Temperature,81 - Pressure,5-2 - Mass Flow,108 - Mass Flow,89-2 - Mass Flow,1 - Temperature,1 - Mass Flow,LIC506 - PV,LIC502 - PV,81 - Mass Flow,86 - Temperature,71-2 - Temperature,67 - Mass Flow,34-2 - Temperature,34-2 - Pressure,34-2 - Mass Flow,LIC508 - OP
[seconds],[C],[C],[C],[C],[kPa],[C],[kPa],[C],[kPa],[kg/h],[kg/h],[kg/h],[C],[kg/h],[%],[%],[kg/h],[C],[C],[kg/h],[C],[kPa],[kg/h],[%]
369931,4.11848,-8.69745,-0.48313,-32.9991,101.3,106.582,537.946,112.739,1043.71,292.778,10658.9,7837.1,59.66,0,10.3444,51.2067,10696.1,14.3656,11.4852,85211.5,158.191,101.3,1.70E-31,0.608905
369941,4.02296,-8.71943,-0.480695,-32.9991,101.3,106.621,537.745,112.76,1043.72,301.294,10643.2,7824.7,59.66,0,10.3462,51.1863,10684.9,14.3398,11.4719,85742.7,158.191,101.3,1.70E-31,0.610728
369951,3.44933,-8.66838,-0.379681,-32.9991,101.3,106.606,537.778,112.745,1043.75,309.804,10627.8,7812.58,59.66,0,10.3476,51.1617,10688.7,14.3159,11.4571,86951.4,158.191,101.3,1.69E-31,0.612529
369961,2.34122,-8.49886,-0.198657,-32.9991,101.3,106.538,538.148,112.672,1043.78,318.13,10614.7,7802.75,59.66,0,10.3482,51.1242,10712.2,14.2923,11.444,88117.3,158.191,101.3,1.67E-31,0.615909
369971,0.989188,-8.29084,-0.0231585,-32.9991,101.3,106.477,538.664,112.599,1043.91,325.435,10607.5,7798.48,59.66,0,10.3472,51.0656,10740.3,14.2703,11.4345,88904.2,158.191,101.3,1.65E-31,0.621423
369981,-0.353515,-8.10447,0.100988,-32.9991,101.3,106.444,539.113,112.553,1044.05,332.368,10607.5,7800.99,59.66,0,10.3434,50.9833,10762.1,14.252,11.4303,89137,158.191,101.3,1.63E-31,0.630099
369991,-1.50252,-7.96603,0.154699,-32.9991,101.3,106.465,539.289,112.559,1044.17,339.258,10613.6,7808.99,59.66,0,10.3364,50.8845,10766.8,14.239,11.4315,89016.3,158.191,101.3,1.60E-31,0.641252
370001,-2.36798,-7.87779,0.144359,-32.9991,101.3,106.525,539.168,112.613,1044.26,345.996,10623.1,7819.74,59.66,0,10.326,50.7815,10754.8,14.2315,11.4432,88600.1,158.191,101.3,1.57E-31,0.654046
370011,-2.99085,-7.83231,0.0846983,-32.9991,101.3,106.623,538.733,112.705,1044.28,353.033,10632.7,7830.19,59.66,0,10.3132,50.6857,10726.8,14.2292,11.4627,88029.9,158.191,101.3,1.55E-31,0.667701
370021,-3.41295,-7.81474,-0.00495579,-32.9991,101.3,106.742,538.114,112.813,1044.35,359.656,10640.9,7838.6,59.66,0,10.2986,50.6059,10688.4,14.23,11.4883,87384,158.191,101.3,1.52E-31,0.681917
370031,-3.70166,-7.81958,-0.109558,-32.9991,101.3,106.87,537.328,112.924,1044.33,367.137,10645,7842.87,59.66,0,10.2833,50.546,10643.4,14.2335,11.5244,86717.9,158.191,101.3,1.49E-31,0.696507
370041,-3.89473,-7.8404,-0.220745,-32.9991,101.3,107.002,536.459,113.036,1044.3,374.662,10644.6,7842.46,59.66,0,10.2679,50.5081,10595,14.2382,11.5678,86073.7,158.191,101.3,1.47E-31,0.711336
370051,-4.02693,-7.86973,-0.337599,-32.9991,101.3,107.135,535.526,113.146,1044.22,382.644,10639,7836.85,59.66,0,10.2531,50.4923,10544.8,14.2433,11.6184,85449.7,158.191,101.3,1.45E-31,0.726335
370061,-4.1201,-7.9097,-0.449798,-32.9991,101.3,107.269,534.567,113.249,1044.11,391.125,10628.3,7826.17,59.66,0,10.2394,50.497,10494.4,14.2479,11.676,84887.2,158.191,101.3,1.42E-31,0.741458
370071,-4.18757,-7.95485,-0.562998,-32.9991,101.3,107.401,533.602,113.343,1043.97,399.928,10612.7,7810.79,59.66,0,10.2271,50.5198,10444,14.2514,11.74,84377.4,158.191,101.3,1.40E-31,0.756651
370081,-4.23551,-8.00512,-0.672215,-32.9991,101.3,107.53,532.651,113.438,1043.84,408.931,10592.7,7791.11,59.66,0,10.2164,50.5583,10394.8,14.2533,11.8101,83905,158.191,101.3,1.38E-31,0.771909
370091,-4.27756,-8.06174,-0.774638,-32.9991,101.3,107.654,531.717,113.521,1043.68,418.358,10568.3,7767.36,59.66,0,10.2075,50.6097,10347.2,14.2537,11.8858,83496.5,158.191,101.3,1.36E-31,0.787039
370101,-4.3042,-8.12104,-0.870933,-32.9991,101.3,107.775,530.824,113.601,1043.53,428.226,10540.3,7740.2,59.66,0,10.2006,50.6713,10301.9,14.2523,11.9671,83100.7,158.191,101.3,1.35E-31,0.802496
370111,-4.32753,-8.18379,-0.961263,-32.9991,101.3,107.892,529.959,113.679,1043.37,438.182,10509,7709.96,59.66,0,10.1957,50.7409,10258.2,14.2494,12.0531,82725,158.191,101.3,1.33E-31,0.817659
370121,-4.34439,-8.24817,-1.04493,-32.9991,101.3,108.01,529.112,113.754,1043.19,448.622,10474.7,7677.08,59.66,0,10.1929,50.8158,10215.8,14.2453,12.1439,82350,158.191,101.3,1.31E-31,0.83269
370131,-4.35643,-8.31545,-1.11968,-32.9991,101.3,108.124,528.306,113.822,1043.04,459.262,10438.1,7642.2,59.66,0,10.192,50.894,10175.3,14.2398,12.2394,81938.3,158.191,101.3,1.30E-31,0.84725
370141,-4.36474,-8.38507,-1.18975,-32.9991,101.3,108.227,527.564,113.883,1042.89,470.069,10399.6,7605.77,59.66,0,10.1933,50.9727,10138.3,14.2332,12.3387,81585.1,158.191,101.3,1.28E-31,0.861892
370151,-4.36968,-8.45424,-1.25275,-32.9991,101.3,108.328,526.841,113.944,1042.72,481.214,10359.6,7568.09,59.66,0,10.1963,51.0504,10102.6,14.2263,12.4415,81195.7,158.191,101.3,1.27E-31,0.876776
370161,-4.37174,-8.52435,-1.31045,-32.9991,101.3,108.429,526.154,113.998,1042.55,492.633,10318.6,7529.76,59.66,0,10.201,51.1255,10068.6,14.2188,12.5474,80786.6,158.191,101.3,1.25E-31,0.891225
370171,-4.37142,-8.59486,-1.36499,-32.9991,101.3,108.523,525.515,114.052,1042.42,503.999,10277,7491.2,59.66,0,10.2075,51.1965,10036.8,14.2109,12.6559,80411,158.191,101.3,1.24E-31,0.905353
370181,-4.36906,-8.66472,-1.41559,-32.9991,101.3,108.612,524.892,114.101,1042.24,516.056,10234.7,7452.28,59.66,0,10.2154,51.2629,10006.5,14.2033,12.7667,80016.8,158.191,101.3,1.23E-31,0.9189
370191,-4.36482,-8.73311,-1.46089,-32.9991,101.3,108.702,524.295,114.151,1042.09,528.037,10192.3,7413.49,59.66,0,10.2244,51.3247,9977.27,14.1958,12.8771,79663.3,158.191,101.3,1.22E-31,0.932658
370201,-4.35926,-8.80124,-1.50379,-32.9991,101.3,108.792,523.728,114.201,1041.94,540.02,10150.1,7375.2,59.66,0,10.2346,51.3804,9949.29,14.1886,12.992,79300,158.191,101.3,1.21E-31,0.946111
370211,-4.35261,-8.86804,-1.54418,-32.9991,101.3,108.879,523.192,114.247,1041.83,552.13,10108.4,7337.6,59.66,0,10.2458,51.43,9922.49,14.1818,13.1081,78979.7,158.191,101.3,1.20E-31,0.959248
370221,-4.34488,-8.93231,-1.57894,-32.9991,101.3,108.961,522.684,114.29,1041.71,564.394,10067.1,7300.64,59.66,0,10.2576,51.4733,9897.23,14.1759,13.2254,78659.8,158.191,101.3,1.19E-31,0.973047
370231,-4.33662,-8.9959,-1.61328,-32.9991,101.3,109.043,522.189,114.335,1041.61,576.715,10026.5,7264.53,59.66,0,10.2701,51.5106,9872.32,14.1707,13.3436,78360.7,158.191,101.3,1.18E-31,0.986784
370241,-4.32802,-9.05816,-1.64582,-32.9991,101.3,109.122,521.72,114.375,1041.5,589.173,9986.56,7229.33,59.66,0,10.283,51.5414,9848.92,14.1666,13.4625,78065.7,158.191,101.3,1.17E-31,0.999843
370251,-4.31913,-9.11851,-1.67592,-32.9991,101.3,109.201,521.275,114.416,1041.42,601.508,9947.59,7195.24,59.66,0,10.2962,51.5663,9826.26,14.1634,13.5822,77797.8,158.191,101.3,1.16E-31,1.01244
370261,-4.31003,-9.17664,-1.70328,-32.9991,101.3,109.275,520.844,114.455,1041.34,614.041,9909.51,7162.17,59.66,0,10.3096,51.5852,9804.32,14.1613,13.7025,77558.6,158.191,101.3,1.15E-31,1.02501
370271,-4.30064,-9.23217,-1.72669,-32.9991,101.3,109.349,520.455,114.491,1041.3,626.321,9872.53,7130.32,59.66,0,10.323,51.5986,9784.12,14.1602,13.8233,77311.1,158.191,101.3,1.14E-31,1.03814
370281,-4.29131,-9.2867,-1.74943,-32.9991,101.3,109.42,520.052,114.528,1041.21,639.092,9836.28,7099.37,59.66,0,10.3363,51.6064,9764.09,14.1608,13.9444,77070.1,158.191,101.3,1.13E-31,1.05113
370291,-4.28202,-9.33929,-1.77026,-32.9991,101.3,109.489,519.699,114.563,1041.18,651.344,9801.52,7069.91,59.66,0,10.3494,51.6089,9745.47,14.1623,14.0655,76837.1,158.191,101.3,1.13E-31,1.06396
370301,-4.27275,-9.38988,-1.78889,-32.9991,101.3,109.555,519.358,114.594,1041.14,663.969,9767.84,7041.63,59.66,0,10.3622,51.6062,9727.85,14.1652,14.1865,76608.4,158.191,101.3,1.12E-31,1.07668
