Time,20-3 - Temperature,17-2 - Temperature,61-3 - Temperature,53-3 - Temperature,53-3 - Pressure,69 - Temperature,69 - Pressure,81 - Temperature,81 - Pressure,5-2 - Mass Flow,108 - Mass Flow,89-2 - Mass Flow,1 - Temperature,1 - Mass Flow,LIC506 - PV,LIC502 - PV,81 - Mass Flow,86 - Temperature,71-2 - Temperature,67 - Mass Flow,34-2 - Temperature,34-2 - Pressure,34-2 - Mass Flow,LIC508 - OP
[seconds],[C],[C],[C],[C],[kPa],[C],[kPa],[C],[kPa],[kg/h],[kg/h],[kg/h],[C],[kg/h],[%],[%],[kg/h],[C],[C],[kg/h],[C],[kPa],[kg/h],[%]
370071,4.12473,-8.90741,-0.594142,-32.9991,101.3,107.073,535.404,113.032,1043.96,407.568,10478.5,7697.68,59.66,0,10.334,50.8969,10553.5,14.0281,11.1907,84755.6,158.191,101.3,1.68E-31,0.628049
370081,4.12416,-8.91781,-0.598888,-32.9991,101.3,107.102,535.271,113.052,1044.03,414.762,10468.8,7690.39,59.66,0,10.3309,50.8747,10545.2,14.005,11.1635,84729.4,158.191,101.3,1.68E-31,0.628909
370091,4.1239,-8.92772,-0.603807,-32.9991,101.3,107.133,535.146,113.07,1044.09,421.99,10459.6,7683.41,59.66,0,10.3277,50.8525,10537.3,13.982,11.1357,84704,158.191,101.3,1.68E-31,0.629706
370101,4.1239,-8.93712,-0.607615,-32.9991,101.3,107.164,534.991,113.089,1044.09,429.592,10450.1,7676.28,59.66,0,10.3242,50.831,10528.9,13.9598,11.1072,84679.1,158.191,101.3,1.68E-31,0.630441
370111,4.1239,-8.94607,-0.611188,-32.9991,101.3,107.193,534.862,113.108,1044.13,436.595,10441.1,7669.56,59.66,0,10.3205,50.8099,10521.4,13.9376,11.0788,84654.8,158.191,101.3,1.68E-31,0.631113
370121,4.1239,-8.95456,-0.614455,-32.9991,101.3,107.225,534.734,113.127,1044.18,443.556,10432.7,7663.28,59.66,0,10.3167,50.7889,10513.3,13.9155,11.0491,84631.1,158.191,101.3,1.68E-31,0.631726
370131,4.12748,-8.96256,-0.617712,-32.9991,101.3,107.252,534.635,113.143,1044.28,450.064,10424.9,7657.5,59.66,0,10.3127,50.7677,10506.3,13.8934,11.0198,84607.8,158.191,101.3,1.68E-31,0.632279
370141,4.12701,-8.97019,-0.620694,-32.9991,101.3,107.277,534.514,113.159,1044.31,456.978,10416.8,7651.48,59.66,0,10.3086,50.7475,10499.3,13.872,10.9908,84585.1,158.191,101.3,1.68E-31,0.632773
370151,4.12708,-8.97743,-0.623423,-32.9991,101.3,107.307,534.412,113.177,1044.39,463.229,10409.5,7646.05,59.66,0,10.3044,50.7274,10492.2,13.8506,10.9605,84562.7,158.191,101.3,1.68E-31,0.63321
370161,4.12708,-8.98432,-0.626028,-32.9991,101.3,107.333,534.314,113.194,1044.47,469.523,10402.3,7640.77,59.66,0,10.3,50.7076,10485.7,13.8295,10.9305,84540.8,158.191,101.3,1.68E-31,0.63359
370171,4.12708,-8.99066,-0.627664,-32.9991,101.3,107.36,534.223,113.209,1044.54,475.684,10395.4,7635.7,59.66,0,10.2955,50.6883,10479.4,13.8088,10.9012,84519.3,158.191,101.3,1.68E-31,0.633915
370181,4.13148,-8.99666,-0.629459,-32.9991,101.3,107.384,534.131,113.225,1044.61,481.756,10388.8,7630.91,59.66,0,10.2909,50.669,10473.2,13.7884,10.8712,84498.2,158.191,101.3,1.68E-31,0.634186
370191,4.13085,-9.00229,-0.631406,-32.9991,101.3,107.411,534.034,113.242,1044.68,487.683,10382.5,7626.28,59.66,0,10.2862,50.6503,10466.7,13.7684,10.8413,84477.3,158.191,101.3,1.68E-31,0.634404
370201,4.1334,-9.00775,-0.632712,-32.9991,101.3,107.435,533.951,113.255,1044.75,493.454,10376.4,7621.88,59.66,0,10.2815,50.6318,10461,13.7487,10.8116,84456.8,158.191,101.3,1.68E-31,0.63457
370211,4.13249,-9.01274,-0.634153,-32.9991,101.3,107.46,533.864,113.271,1044.82,499.177,10370.5,7617.63,59.66,0,10.2767,50.6138,10455.2,13.7295,10.7819,84436.6,158.191,101.3,1.68E-31,0.634686
370221,4.13416,-9.01759,-0.635462,-32.9991,101.3,107.485,533.787,113.287,1044.91,504.421,10365.1,7613.69,59.66,0,10.2718,50.5963,10449.4,13.7104,10.7522,84416.6,158.191,101.3,1.68E-31,0.634752
370231,4.13339,-9.02201,-0.635952,-32.9991,101.3,107.511,533.702,113.303,1044.98,509.821,10359.7,7609.77,59.66,0,10.2668,50.5794,10443.5,13.6918,10.7219,84396.9,158.191,101.3,1.67E-31,0.63477
370241,4.13339,-9.02604,-0.636926,-32.9991,101.3,107.529,533.639,113.313,1045.05,515.02,10354.6,7606.16,59.66,0,10.2617,50.5623,10439,13.6736,10.6937,84377.5,158.191,101.3,1.67E-31,0.634742
370251,4.13339,-9.0299,-0.637506,-32.9991,101.3,107.549,533.572,113.326,1045.12,520.108,10349.7,7602.64,59.66,0,10.2566,50.5459,10434.1,13.6559,10.6656,84358.2,158.191,101.3,1.67E-31,0.634667
370261,4.13339,-9.03204,-0.638116,-32.9991,101.3,107.571,533.493,113.341,1045.16,525.139,10344.9,7599.27,59.66,0,10.2516,50.5295,10429.1,13.6388,10.6376,84339.3,158.191,101.3,1.67E-31,0.634547
370271,4.13339,-9.03683,-0.638088,-32.9991,101.3,107.593,533.444,113.353,1045.27,529.642,10340.8,7596.34,59.66,0,10.2465,50.5136,10424.6,13.6217,10.6102,84320.5,158.191,101.3,1.67E-31,0.634386
370281,4.13339,-9.03853,-0.638141,-32.9991,101.3,107.615,533.384,113.367,1045.35,534.26,10336.6,7593.44,59.66,0,10.2415,50.498,10420,13.6052,10.5829,84302,158.191,101.3,1.67E-31,0.634181
370291,4.13671,-9.04258,-0.637775,-32.9991,101.3,107.637,533.326,113.38,1045.44,538.697,10332.7,7590.76,59.66,0,10.2366,50.483,10415.2,13.5891,10.5561,84283.6,158.191,101.3,1.67E-31,0.633938
370301,4.13671,-9.04395,-0.637763,-32.9991,101.3,107.658,533.268,113.393,1045.52,543.031,10329,7588.21,59.66,0,10.2316,50.4681,10410.6,13.5734,10.5299,84265.2,158.191,101.3,1.67E-31,0.633654
370311,4.13671,-9.04605,-0.637589,-32.9991,101.3,107.676,533.226,113.405,1045.61,547.003,10325.5,7585.86,59.66,0,10.2265,50.4538,10406.7,13.5581,10.5042,84247.2,158.191,101.3,1.67E-31,0.633334
370321,4.13671,-9.04892,-0.637135,-32.9991,101.3,107.694,533.177,113.415,1045.68,551.165,10322.1,7583.52,59.66,0,10.2215,50.4397,10402.9,13.5434,10.4791,84229.1,158.191,101.3,1.67E-31,0.632976
370331,4.13671,-9.05081,-0.636507,-32.9991,101.3,107.714,533.128,113.428,1045.76,555.022,10318.9,7581.39,59.66,0,10.2166,50.4259,10398.9,13.5291,10.4548,84211.2,158.191,101.3,1.67E-31,0.632584
370341,4.14024,-9.053,-0.636402,-32.9991,101.3,107.728,533.083,113.437,1045.82,558.85,10315.8,7579.36,59.66,0,10.2116,50.4124,10395.4,13.5155,10.4312,84193.3,158.191,101.3,1.67E-31,0.632157
370351,4.13594,-9.05574,-0.635262,-32.9991,101.3,107.746,533.037,113.449,1045.89,562.495,10313,7577.5,59.66,0,10.2067,50.399,10391.8,13.5022,10.4084,84175.6,158.191,101.3,1.67E-31,0.631697
370361,4.14171,-9.05562,-0.634384,-32.9991,101.3,107.761,532.997,113.459,1045.95,566.043,10310.3,7575.76,59.66,0,10.2019,50.386,10388.6,13.4895,10.3863,84156.3,158.191,101.3,1.67E-31,0.631206
370371,4.13774,-9.05794,-0.633568,-32.9991,101.3,107.78,532.956,113.47,1046.03,569.489,10307.9,7574.25,59.66,0,10.1971,50.3732,10385.1,13.4772,10.3651,84140.6,158.191,101.3,1.67E-31,0.630695
370381,4.14242,-9.05965,-0.63263,-32.9991,101.3,107.799,532.926,113.481,1046.12,572.576,10305.7,7572.88,59.66,0,10.1924,50.3611,10381.7,13.4653,10.3448,84122.6,158.191,101.3,1.67E-31,0.63011
370391,4.14242,-9.05958,-0.631877,-32.9991,101.3,107.812,532.895,113.489,1046.18,575.784,10303.4,7571.53,59.66,0,10.1877,50.349,10379.1,13.454,10.3252,84104.8,158.191,101.3,1.67E-31,0.629516
370401,4.14242,-9.06158,-0.629979,-32.9991,101.3,107.83,532.877,113.5,1046.3,578.336,10301.8,7570.61,59.66,0,10.183,50.3373,10375.9,13.4429,10.3068,84087.3,158.191,101.3,1.67E-31,0.628898
370411,4.14242,-9.06149,-0.630078,-32.9991,101.3,107.843,532.847,113.508,1046.36,581.35,10300,7569.6,59.66,0,10.1783,50.3253,10373.2,13.4326,10.2891,84070.4,158.191,101.3,1.67E-31,0.628263
