Time,20-3 - Temperature,17-2 - Temperature,61-3 - Temperature,53-3 - Temperature,53-3 - Pressure,69 - Temperature,69 - Pressure,81 - Temperature,81 - Pressure,5-2 - Mass Flow,108 - Mass Flow,89-2 - Mass Flow,1 - Temperature,1 - Mass Flow,LIC506 - PV,LIC502 - PV,81 - Mass Flow,86 - Temperature,71-2 - Temperature,67 - Mass Flow,34-2 - Temperature,34-2 - Pressure,34-2 - Mass Flow,LIC508 - OP
[seconds],[C],[C],[C],[C],[kPa],[C],[kPa],[C],[kPa],[kg/h],[kg/h],[kg/h],[C],[kg/h],[%],[%],[kg/h],[C],[C],[kg/h],[C],[kPa],[kg/h],[%]
369571,7.93898,-7.17043,1.26723,-32.9991,101.3,103.868,557.753,111.032,1049.6,0.1644,11672.7,8718.96,59.66,0,9.97894,49.886,11685.7,15.1393,10.5817,90067.9,158.191,101.3,2.08E-31,0.360046
369581,7.94257,-7.16592,1.27101,-32.9991,101.3,103.863,557.804,111.03,1049.65,0.000340699,11675.6,8721.37,59.66,0,9.97769,49.8827,11687.5,15.1418,10.5817,90077.6,158.191,101.3,2.08E-31,0.359692
369591,7.94257,-7.16151,1.27483,-32.9991,101.3,103.857,557.849,111.029,1049.67,-2.27E-09,11678.2,8723.53,59.66,0,9.97649,49.8798,11689.4,15.1446,10.5817,90087.2,158.191,101.3,2.08E-31,0.359351
369601,7.94257,-7.15718,1.27987,-32.9991,101.3,103.851,557.883,111.024,1049.69,-5.68E-09,11680.8,8725.68,59.66,0,9.9753,49.8771,11691.1,15.1476,10.5817,90096.6,158.191,101.3,2.08E-31,0.359025
369611,7.947,-7.15288,1.28331,-32.9991,101.3,103.845,557.925,111.022,1049.72,-8.27E-09,11683.3,8727.83,59.66,0,9.97414,49.8747,11693,15.1506,10.5817,90105.7,158.191,101.3,2.08E-31,0.358712
369621,7.947,-7.14872,1.28677,-32.9991,101.3,103.841,557.96,111.02,1049.74,-8.39E-09,11685.9,8729.95,59.66,0,9.97312,49.8727,11694.5,15.1537,10.5835,90114.5,158.191,101.3,2.08E-31,0.358412
369631,7.947,-7.14475,1.28974,-32.9991,101.3,103.835,557.994,111.019,1049.76,-8.70E-09,11688.4,8732.03,59.66,0,9.97215,49.8709,11696,15.1568,10.5829,90123.1,158.191,101.3,2.08E-31,0.358126
369641,7.95041,-7.14074,1.29278,-32.9991,101.3,103.83,558.046,111.014,1049.78,-8.71E-09,11690.9,8734.05,59.66,0,9.97113,49.8693,11698.6,15.16,10.5848,90131.4,158.191,101.3,2.08E-31,0.357852
369651,7.95041,-7.1367,1.29626,-32.9991,101.3,103.824,558.088,111.011,1049.81,-8.90E-09,11693.3,8736.07,59.66,0,9.97018,49.8679,11700.5,15.1633,10.5841,90139.4,158.191,101.3,2.08E-31,0.357591
