Time,20-3 - Temperature,17-2 - Temperature,61-3 - Temperature,53-3 - Temperature,53-3 - Pressure,69 - Temperature,69 - Pressure,81 - Temperature,81 - Pressure,5-2 - Mass Flow,108 - Mass Flow,89-2 - Mass Flow,1 - Temperature,1 - Mass Flow,LIC506 - PV,LIC502 - PV,81 - Mass Flow,86 - Temperature,71-2 - Temperature,67 - Mass Flow,34-2 - Temperature,34-2 - Pressure,34-2 - Mass Flow,LIC508 - OP
[seconds],[C],[C],[C],[C],[kPa],[C],[kPa],[C],[kPa],[kg/h],[kg/h],[kg/h],[C],[kg/h],[%],[%],[kg/h],[C],[C],[kg/h],[C],[kPa],[kg/h],[%]
369301,7.83963,-7.27462,1.12923,-32.9991,101.3,104.024,556.592,111.122,1049.19,4.66371,11622.7,8674.41,59.66,0,9.99963,50.0222,11628.2,15.1089,10.634,89693.8,158.191,101.3,2.06E-31,0.374531
369311,7.85289,-7.27759,1.12814,-32.9991,101.3,104.015,556.637,111.119,1049.2,4.55689,11622.7,8674.41,59.66,0,9.99967,50.0214,11630.3,15.1081,10.6322,89689,158.191,101.3,2.06E-31,0.374004
369321,7.87185,-7.27759,1.13226,-32.9991,101.3,104.011,556.68,111.117,1049.23,4.37904,11623.2,8674.84,59.66,0,9.99968,50.019,11632.1,15.1073,10.6301,89704.9,158.191,101.3,2.06E-31,0.373352
369331,7.88174,-7.27517,1.13564,-32.9991,101.3,104.008,556.705,111.113,1049.22,4.55981,11623.4,8675.09,59.66,0,9.99968,50.0164,11633.8,15.1069,10.6278,89724.3,158.191,101.3,2.06E-31,0.372645
369341,7.88981,-7.27289,1.14133,-32.9991,101.3,104.003,556.755,111.109,1049.25,4.31739,11624.1,8675.72,59.66,0,9.99953,50.0132,11636.1,15.1064,10.626,89746.3,158.191,101.3,2.06E-31,0.371907
369351,7.89444,-7.26961,1.14809,-32.9991,101.3,103.996,556.788,111.105,1049.24,4.36892,11624.7,8676.31,59.66,0,9.99934,50.0094,11638.2,15.1063,10.6237,89765,158.191,101.3,2.07E-31,0.371249
369361,7.89928,-7.26628,1.15516,-32.9991,101.3,103.988,556.837,111.102,1049.26,4.01014,11625.8,8677.3,59.66,0,9.99901,50.0048,11640.4,15.1062,10.6214,89782,158.191,101.3,2.07E-31,0.370591
369371,7.905,-7.26239,1.16214,-32.9991,101.3,103.981,556.892,111.095,1049.27,3.86159,11627,8678.46,59.66,0,9.99876,49.999,11643.5,15.1062,10.6188,89798.3,158.191,101.3,2.07E-31,0.369994
369381,7.90431,-7.25888,1.1688,-32.9991,101.3,103.975,556.943,111.092,1049.3,3.57846,11628.5,8679.9,59.66,0,9.99838,49.9931,11645.7,15.1062,10.6144,89812.9,158.191,101.3,2.07E-31,0.369372
